portale,percentuale,data
Comune di Bitonto,50.61944790540627,2023-12-01 15:15:27.371038
Comune di Crispiano,55.91658702979039,2023-12-01 15:15:28.789181
Comune di Massafra,57.65105183495416,2023-12-01 15:15:29.785506
Comune di Bitonto,50.61944790540627,2023-12-01 15:15:27.371038
Comune di Crispiano,55.91658702979039,2023-12-01 15:15:28.789181
Comune di Massafra,59.65105183495416,2023-12-01 16:15:29.785506
Comune di Bitonto,50.61944790540627,2023-12-01 15:18:41.441480
Comune di Crispiano,55.91658702979039,2023-12-01 15:18:42.732995
Comune di Massafra,57.65105183495416,2023-12-01 15:18:43.555108
Comune di Bitonto,50.61944790540627,2023-12-01 15:18:49.727942
Comune di Crispiano,55.91658702979039,2023-12-01 15:18:50.871212
Comune di Massafra,57.65105183495416,2023-12-01 15:18:51.624017
Comune di Bitonto,50.61944790540627,2023-12-01 15:22:06.912301
Comune di Crispiano,55.91658702979039,2023-12-01 15:22:08.124745
Comune di Massafra,57.65105183495416,2023-12-01 15:22:08.997748
Comune di Bitonto,50.61944790540627,2023-12-01 15:22:17.495030
Comune di Crispiano,55.91658702979039,2023-12-01 15:22:19.079247
Comune di Massafra,57.65105183495416,2023-12-01 15:22:20.217595
Comune di Bitonto,50.61944790540627,2023-12-01 15:25:07.936486
Comune di Crispiano,55.91658702979039,2023-12-01 15:25:08.978051
Comune di Massafra,57.65105183495416,2023-12-01 15:25:09.685759
Comune di Bitonto,50.61944790540627,2023-12-01 15:25:15.092767
Comune di Crispiano,55.91658702979039,2023-12-01 15:25:16.261651
Comune di Massafra,57.65105183495416,2023-12-01 15:25:16.994689
Comune di Bitonto,50.61944790540627,2023-12-01 15:25:35.515857
Comune di Crispiano,55.91658702979039,2023-12-01 15:25:37.206856
Comune di Massafra,57.65105183495416,2023-12-01 15:25:38.454912
Comune di Bitonto,50.61944790540627,2023-12-01 15:27:50.745212
Comune di Crispiano,55.91658702979039,2023-12-01 15:27:52.077637
Comune di Massafra,57.65105183495416,2023-12-01 15:27:52.897045
Comune di Bitonto,50.61944790540627,2023-12-01 15:28:06.630246
Comune di Crispiano,55.91658702979039,2023-12-01 15:28:08.211264
Comune di Massafra,57.65105183495416,2023-12-01 15:28:09.004792
Comune di Bitonto,50.61944790540627,2023-12-01 15:33:44.784795
Comune di Crispiano,55.91658702979039,2023-12-01 15:33:46.037579
Comune di Massafra,57.65105183495416,2023-12-01 15:33:46.862148
Comune di Bitonto,50.61944790540627,2023-12-01 15:34:53.001971
Comune di Crispiano,55.91658702979039,2023-12-01 15:34:53.794244
Comune di Massafra,57.65105183495416,2023-12-01 15:34:54.257379
Comune di Bitonto,50.61944790540627,2023-12-01 15:35:01.951132
Comune di Crispiano,55.91658702979039,2023-12-01 15:35:03.430604
Comune di Massafra,57.65105183495416,2023-12-01 15:35:04.585336
Comune di Bitonto,50.61944790540627,2023-12-01 15:36:17.440600
Comune di Crispiano,55.91658702979039,2023-12-01 15:36:18.834080
Comune di Massafra,57.65105183495416,2023-12-01 15:36:19.721715
Comune di Bitonto,50.61944790540627,2023-12-01 15:36:28.841638
Comune di Crispiano,55.91658702979039,2023-12-01 15:36:30.202778
Comune di Massafra,57.65105183495416,2023-12-01 15:36:31.183956
Comune di Bitonto,50.61944790540627,2023-12-01 15:38:38.380336
Comune di Crispiano,55.91658702979039,2023-12-01 15:38:39.307144
Comune di Massafra,57.65105183495416,2023-12-01 15:38:39.929589
Comune di Bitonto,50.61944790540627,2023-12-01 15:42:32.488988
Comune di Crispiano,55.91658702979039,2023-12-01 15:42:33.751287
Comune di Massafra,57.65105183495416,2023-12-01 15:42:34.666601
Comune di Bitonto,50.61944790540627,2023-12-01 15:42:43.506152
Comune di Crispiano,55.91658702979039,2023-12-01 15:42:44.717645
Comune di Massafra,57.65105183495416,2023-12-01 15:42:45.602415
Comune di Bitonto,50.61944790540627,2023-12-01 15:46:06.484024
Comune di Crispiano,55.91658702979039,2023-12-01 15:46:07.901772
Comune di Massafra,57.65105183495416,2023-12-01 15:46:08.975915
Comune di Bitonto,50.61944790540627,2023-12-01 15:46:18.065147
Comune di Crispiano,55.91658702979039,2023-12-01 15:46:19.452253
Comune di Massafra,57.65105183495416,2023-12-01 15:46:20.489986
Comune di Bitonto,50.61944790540627,2023-12-01 15:48:36.099147
Comune di Crispiano,55.91658702979039,2023-12-01 15:48:37.237662
Comune di Massafra,57.65105183495416,2023-12-01 15:48:37.991252
Comune di Bitonto,50.61944790540627,2023-12-01 15:48:46.906022
Comune di Crispiano,55.91658702979039,2023-12-01 15:48:48.321781
Comune di Massafra,57.65105183495416,2023-12-01 15:48:49.239256
Comune di Bitonto,50.61944790540627,2023-12-01 15:55:20.611405
Comune di Crispiano,55.91658702979039,2023-12-01 15:55:21.906853
Comune di Massafra,57.65105183495416,2023-12-01 15:55:22.775048
Comune di Bitonto,50.61944790540627,2023-12-01 15:55:32.501110
Comune di Crispiano,55.91658702979039,2023-12-01 15:55:33.984879
Comune di Massafra,57.65105183495416,2023-12-01 15:55:35.006910
Comune di Bitonto,50.61944790540627,2023-12-01 15:57:56.880335
Comune di Crispiano,55.91658702979039,2023-12-01 15:57:58.430995
Comune di Massafra,57.65105183495416,2023-12-01 15:57:59.496793
Comune di Bitonto,50.61944790540627,2023-12-01 15:58:09.199304
Comune di Crispiano,55.91658702979039,2023-12-01 15:58:10.764223
Comune di Massafra,57.65105183495416,2023-12-01 15:58:11.822471
Comune di Bitonto,50.61944790540627,2023-12-01 16:00:28.253780
Comune di Crispiano,55.91658702979039,2023-12-01 16:00:29.416043
Comune di Massafra,57.65105183495416,2023-12-01 16:00:30.215643
Comune di Bitonto,50.61944790540627,2023-12-01 16:00:36.341005
Comune di Crispiano,55.91658702979039,2023-12-01 16:00:37.584839
Comune di Massafra,57.65105183495416,2023-12-01 16:00:38.665866
Comune di Bitonto,50.61944790540627,2023-12-01 16:00:51.297515
Comune di Crispiano,55.91658702979039,2023-12-01 16:00:52.421200
Comune di Massafra,57.65105183495416,2023-12-01 16:00:53.167016
Comune di Bitonto,50.61944790540627,2023-12-01 16:02:21.047353
Comune di Crispiano,55.91658702979039,2023-12-01 16:02:21.830406
Comune di Massafra,57.65105183495416,2023-12-01 16:02:22.277943
Comune di Bitonto,50.61944790540627,2023-12-01 16:02:29.489432
Comune di Crispiano,55.91658702979039,2023-12-01 16:02:31.130686
Comune di Massafra,57.65105183495416,2023-12-01 16:02:32.258144
Comune di Bitonto,57.18808969792262,2023-12-01 16:16:29.649265
Comune di Crispiano,51.08174039106581,2023-12-01 16:16:30.417067
Comune di Massafra,57.46586664976897,2023-12-01 16:16:31.615915
Comune di Bitonto,58.85236752963599,2023-12-01 16:21:29.410765
Comune di Crispiano,57.26969220566523,2023-12-01 16:21:30.318405
Comune di Massafra,57.46586664976897,2023-12-01 16:21:31.198328
Comune di Bitonto,58.85236752963599,2023-12-01 16:26:03.058056
Comune di Crispiano,53.67391321621648,2023-12-01 16:26:03.809352
Comune di Massafra,57.46586664976897,2023-12-01 16:26:04.411156
Comune di Bitonto,58.85236752963599,2023-12-01 16:26:10.607274
Comune di Crispiano,53.67391321621648,2023-12-01 16:26:11.322658
Comune di Massafra,57.46586664976897,2023-12-01 16:26:11.910582
Comune di Bitonto,57.74284897516042,2023-12-01 16:32:00.102239
Comune di Crispiano,52.184087636361305,2023-12-01 16:32:01.295080
Comune di Massafra,55.71776874966091,2023-12-01 16:32:02.404536
Comune di Bitonto,57.74284897516042,2023-12-01 16:32:36.774828
Comune di Crispiano,52.184087636361305,2023-12-01 16:32:38.269246
Comune di Massafra,55.71776874966091,2023-12-01 16:32:39.481981
Comune di Bitonto,57.74284897516042,2023-12-01 16:32:56.570131
Comune di Crispiano,52.184087636361305,2023-12-01 16:32:57.847503
Comune di Massafra,55.71776874966091,2023-12-01 16:32:58.683109
Comune di Bitonto,57.74284897516042,2023-12-01 16:36:54.553516
Comune di Crispiano,52.184087636361305,2023-12-01 16:36:55.655712
Comune di Massafra,55.71776874966091,2023-12-01 16:36:56.656875
Comune di Bitonto,57.74284897516042,2023-12-01 16:37:41.860696
Comune di Crispiano,52.184087636361305,2023-12-01 16:37:44.510243
Comune di Massafra,55.71776874966091,2023-12-01 16:37:45.601409
Comune di Bitonto,57.74284897516042,2023-12-01 16:37:54.263049
Comune di Crispiano,52.184087636361305,2023-12-01 16:37:54.754564
Comune di Massafra,55.71776874966091,2023-12-01 16:37:55.231695
Comune di Bitonto,57.74284897516042,2023-12-01 17:41:00.449328
Comune di Crispiano,50.033630101253365,2023-12-01 17:41:01.276669
Comune di Massafra,53.80764837929055,2023-12-01 17:41:02.134918
Comune di Bitonto,57.74284897516042,2023-12-01 17:45:50.019038
Comune di Crispiano,46.764886465842636,2023-12-01 17:45:51.399565
Comune di Massafra,53.80764837929055,2023-12-01 17:45:52.634568
Comune di Bitonto,57.74284897516042,2023-12-01 17:46:18.127606
Comune di Crispiano,46.764886465842636,2023-12-01 17:46:19.035349
Comune di Massafra,53.80764837929055,2023-12-01 17:46:19.985445
Comune di Bitonto,57.74284897516042,2023-12-01 17:46:41.278307
Comune di Crispiano,46.764886465842636,2023-12-01 17:46:41.819939
Comune di Massafra,53.80764837929055,2023-12-01 17:46:42.719578
Comune di Bitonto,57.74284897516042,2023-12-01 17:48:02.977469
Comune di Crispiano,46.764886465842636,2023-12-01 17:48:03.578632
Comune di Massafra,53.80764837929055,2023-12-01 17:48:04.111361
Comune di Bitonto,57.74284897516042,2023-12-01 17:52:28.170242
Comune di Crispiano,46.764886465842636,2023-12-01 17:52:29.428539
Comune di Massafra,53.80764837929055,2023-12-01 17:52:30.841884
Comune di Bitonto,57.74284897516042,2023-12-01 17:53:31.097482
Comune di Crispiano,46.764886465842636,2023-12-01 17:53:31.704658
Comune di Massafra,53.80764837929055,2023-12-01 17:53:32.253240
Comune di Bitonto,57.74284897516042,2023-12-01 17:53:56.697356
